TMDb ID,IMDb ID,Type,Name,Release Date,Season Number,Episode Number,Rating,Your Rating,Date Rated
419430,tt5052448,movie,Get Out,2017-02-24T00:00:00Z,,,7.622,7.0,2017-03-18T00:00:00Z
9323,tt0113568,movie,GHOST IN THE SHELL,1995-11-18T00:00:00Z,,,7.924,8.0,2023-06-10T00:00:00Z
16263,tt0089208,movie,Girls Just Want to Have Fun,1985-04-12T00:00:00Z,,,6.101,5.0,2018-01-23T00:00:00Z
98,tt0172495,movie,Gladiator,2000-05-04T00:00:00Z,,,8.221,7.0,2015-12-06T00:00:00Z
465078,tt7136550,movie,God: Serengeti,2017-07-06T00:00:00Z,,,6.673,5.0,2019-09-29T00:00:00Z
210577,tt2267998,movie,Gone Girl,2014-10-01T00:00:00Z,,,7.888,8.0,2016-09-29T00:00:00Z
770,tt0031381,movie,Gone with the Wind,1939-12-15T00:00:00Z,,,7.92,9.0,2016-10-01T00:00:00Z
972545,tt14179942,movie,Good Night Oppy,2022-11-04T00:00:00Z,,,7.494,6.0,2023-08-08T00:00:00Z
3291,tt0433383,movie,"Good Night, and Good Luck.",2005-09-16T00:00:00Z,,,7.071,8.0,2016-09-29T00:00:00Z
489,tt0119217,movie,Good Will Hunting,1997-12-05T00:00:00Z,,,8.158,9.0,2023-07-12T00:00:00Z
769,tt0099685,movie,GoodFellas,1990-09-12T00:00:00Z,,,8.452,8.0,2016-01-23T00:00:00Z
13223,tt1205489,movie,Gran Torino,2008-12-12T00:00:00Z,,,7.987,8.0,2018-02-22T00:00:00Z
49047,tt1454468,movie,Gravity,2013-10-03T00:00:00Z,,,7.167,8.0,2015-12-06T00:00:00Z
137,tt0107048,movie,Groundhog Day,1993-02-11T00:00:00Z,,,7.624,7.0,2018-12-15T00:00:00Z
118340,tt2015381,movie,Guardians of the Galaxy,2014-07-30T00:00:00Z,,,7.905,4.0,2014-12-29T00:00:00Z
283995,tt3896198,movie,Guardians of the Galaxy Vol. 2,2017-04-19T00:00:00Z,,,7.609,8.0,2017-05-10T00:00:00Z
555604,tt1488589,movie,Guillermo del Toro's Pinocchio,2022-11-09T00:00:00Z,,,8.027,8.0,2024-11-05T00:00:00Z
324786,tt2119532,movie,Hacksaw Ridge,2016-10-07T00:00:00Z,,,8.191,9.0,2017-01-01T00:00:00Z
556574,tt8503618,movie,Hamilton,2025-09-05T00:00:00Z,,,7.642,9.0,2020-07-08T00:00:00Z
9614,tt0116483,movie,Happy Gilmore,1996-02-16T00:00:00Z,,,6.667,5.0,2025-07-31T00:00:00Z
325348,tt3072482,movie,Hardcore Henry,2015-09-12T00:00:00Z,,,6.395,6.0,2018-04-15T00:00:00Z
672,tt0295297,movie,Harry Potter and the Chamber of Secrets,2002-11-13T00:00:00Z,,,7.704,8.0,2017-12-22T00:00:00Z
12444,tt0926084,movie,Harry Potter and the Deathly Hallows: Part 1,2010-11-17T00:00:00Z,,,7.736,8.0,2018-01-21T00:00:00Z
12445,tt1201607,movie,Harry Potter and the Deathly Hallows: Part 2,2011-07-12T00:00:00Z,,,8.08,8.0,2018-01-21T00:00:00Z
674,tt0330373,movie,Harry Potter and the Goblet of Fire,2005-11-16T00:00:00Z,,,7.801,9.0,2018-01-12T00:00:00Z
767,tt0417741,movie,Harry Potter and the Half-Blood Prince,2009-07-15T00:00:00Z,,,7.681,6.0,2018-01-16T00:00:00Z
675,tt0373889,movie,Harry Potter and the Order of the Phoenix,2007-07-08T00:00:00Z,,,7.672,7.0,2018-01-13T00:00:00Z
671,tt0241527,movie,Harry Potter and the Philosopher's Stone,2001-11-16T00:00:00Z,,,7.899,9.0,2017-12-22T00:00:00Z
673,tt0304141,movie,Harry Potter and the Prisoner of Azkaban,2004-05-31T00:00:00Z,,,8.008,7.0,2018-01-06T00:00:00Z
470333,tt7158430,movie,Hearts Beat Loud,2018-06-08T00:00:00Z,,,6.85,7.0,2018-04-29T00:00:00Z
4539,tt0102015,movie,Hearts of Darkness: A Filmmaker's Apocalypse,1991-11-27T00:00:00Z,,,7.918,8.0,2024-06-14T00:00:00Z
949,tt0113277,movie,Heat,1995-12-15T00:00:00Z,,,7.927,6.0,2018-01-04T00:00:00Z
1487,tt0167190,movie,Hellboy,2004-04-02T00:00:00Z,,,6.677,6.0,2024-01-28T00:00:00Z
152601,tt1798709,movie,Her,2013-12-18T00:00:00Z,,,7.841,9.0,2015-09-25T00:00:00Z
360784,tt2131532,movie,Hidden,2015-09-15T00:00:00Z,,,6.894,9.0,2019-09-16T00:00:00Z
3085,tt0032599,movie,His Girl Friday,1940-01-18T00:00:00Z,,,7.423,5.0,2025-07-14T00:00:00Z
103328,tt2076220,movie,Holy Motors,2012-07-02T00:00:00Z,,,6.987,6.0,2022-08-31T00:00:00Z
771,tt0099785,movie,Home Alone,1990-11-16T00:00:00Z,,,7.46,3.0,2023-12-26T00:00:00Z
932086,tt17505010,movie,Horizon: An American Saga - Chapter 1,2024-06-26T00:00:00Z,,,6.833,7.0,2024-06-30T00:00:00Z
4638,tt0425112,movie,Hot Fuzz,2007-02-14T00:00:00Z,,,7.562,8.0,2015-10-14T00:00:00Z
6418,tt1094249,movie,Hotel Chevalier,2007-10-26T00:00:00Z,,,6.895,8.0,2020-02-03T00:00:00Z
205,tt0395169,movie,Hotel Rwanda,2004-12-22T00:00:00Z,,,7.715,9.0,2016-09-29T00:00:00Z
10191,tt0892769,movie,How to Train Your Dragon,2010-03-18T00:00:00Z,,,7.855,6.0,2016-05-26T00:00:00Z
371645,tt4698684,movie,Hunt for the Wilderpeople,2016-01-22T00:00:00Z,,,7.65,7.0,2020-02-20T00:00:00Z
451877,tt6169694,movie,I Think We're Alone Now,2018-09-14T00:00:00Z,,,5.785,8.0,2018-09-26T00:00:00Z
414190,tt3171832,movie,iBoy,2017-01-27T00:00:00Z,,,5.949,6.0,2017-03-16T00:00:00Z
432976,tt6333060,movie,Icarus,2017-06-03T00:00:00Z,,,7.657,8.0,2018-01-03T00:00:00Z
425,tt0268380,movie,Ice Age,2002-03-14T00:00:00Z,,,7.368,7.0,2016-09-29T00:00:00Z
8355,tt1080016,movie,Ice Age: Dawn of the Dinosaurs,2009-06-26T00:00:00Z,,,6.761,6.0,2016-09-29T00:00:00Z
950,tt0438097,movie,Ice Age: The Meltdown,2006-03-29T00:00:00Z,,,6.716,6.0,2017-01-03T00:00:00Z
